COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
998189,LS-180,COREAD,1007,-4.126147,0.155122
910700,C2BBe1,COREAD,1007,-2.150106,1.541816
910569,COLO-320-HSR,COREAD,1007,-4.749032,-0.28199
910689,COLO-678,COREAD,1007,0.147504,3.154173
907792,LS-123,COREAD,1007,-2.74792,1.122298
909751,SW48,COREAD,1010,0.262197,-2.007474
905962,SW620,COREAD,1010,5.257896,1.371366
909740,SNU-C2B,COREAD,1010,4.392907,0.786331
909718,SK-CO-1,COREAD,1010,2.326626,-0.611198
905971,HCC2998,COREAD,1010,3.332305,0.068993
1660035,SNU-61,COREAD,1010,4.045273,0.551209
1674021,SNU-C5,COREAD,1010,3.16958,-0.041066
1659928,SNU-175,COREAD,1010,1.07865,-1.455266
909748,SW1463,COREAD,1010,2.273289,-0.647272
907790,LoVo,COREAD,1010,1.493017,-1.175009
909746,SW1116,COREAD,1010,3.500183,0.182537
1240124,CL-40,COREAD,1010,3.947556,0.485118
908457,NCI-H747,COREAD,1010,2.279598,-0.643005
909698,RKO,COREAD,1010,3.633902,0.272978
908458,NCI-H716,COREAD,1010,4.299302,0.723021
907794,LS-411N,COREAD,1010,4.042717,0.54948
907291,GP5d,COREAD,1010,2.440279,-0.534329
1240173,MDST8,COREAD,1010,3.602171,0.251517
909747,SW1417,COREAD,1010,5.42672,1.48555
909761,T84,COREAD,1010,2.911963,-0.215305
910905,SNU-C1,COREAD,1010,3.958959,0.49283
909755,SW837,COREAD,1010,3.775139,0.368503
1290769,CL-11,COREAD,1010,5.393628,1.463168
905939,HT-29,COREAD,1010,5.161437,1.306126
909263,RCM-1,COREAD,1010,4.012673,0.529159
905937,HCT-15,COREAD,1010,3.433101,0.137166
924108,CaR-1,COREAD,1010,2.740696,-0.331142
1789883,DiFi,COREAD,1010,-1.87859,-3.455395
905961,COLO-205,COREAD,1010,3.68176,0.305347
907287,HT55,COREAD,1010,2.226313,-0.679045
909757,SW948,COREAD,1010,4.237975,0.681543
917486,LS-1034,COREAD,1010,3.23458,0.002896
910554,CW-2,COREAD,1010,1.574836,-1.119671
1660034,SNU-407,COREAD,1010,3.912275,0.461255
1240123,CCK-81,COREAD,1010,0.033347,-2.162257
905936,HCT-116,COREAD,1010,2.385846,-0.571145
905989,KM12,COREAD,1010,2.956654,-0.185079
998189,LS-180,COREAD,1010,3.330434,0.067727
910700,C2BBe1,COREAD,1010,3.892401,0.447814
910569,COLO-320-HSR,COREAD,1010,3.325338,0.06428
910689,COLO-678,COREAD,1010,3.823699,0.401347
907792,LS-123,COREAD,1010,3.879647,0.439187
909751,SW48,COREAD,1011,-0.192302,-1.05524
905962,SW620,COREAD,1011,0.901405,-0.503772
908442,NCI-H508,COREAD,1011,1.212277,-0.347025
909740,SNU-C2B,COREAD,1011,4.932587,1.528825
909718,SK-CO-1,COREAD,1011,-1.244424,-1.58574
905971,HCC2998,COREAD,1011,0.962118,-0.47316
1674021,SNU-C5,COREAD,1011,2.946617,0.527462
1659928,SNU-175,COREAD,1011,1.818051,-0.041582
909748,SW1463,COREAD,1011,2.413515,0.258662
907790,LoVo,COREAD,1011,1.463979,-0.220112
909746,SW1116,COREAD,1011,0.535244,-0.688398
1240124,CL-40,COREAD,1011,-0.239879,-1.079229
907795,LS-513,COREAD,1011,2.414873,0.259346
908457,NCI-H747,COREAD,1011,1.94262,0.021228
909698,RKO,COREAD,1011,1.765365,-0.068148
908458,NCI-H716,COREAD,1011,-1.238756,-1.582882
1660036,SNU-81,COREAD,1011,0.252515,-0.830955
907794,LS-411N,COREAD,1011,1.469563,-0.217296
907291,GP5d,COREAD,1011,0.596302,-0.657611
1240173,MDST8,COREAD,1011,0.247664,-0.833401
909747,SW1417,COREAD,1011,-1.288855,-1.608143
909761,T84,COREAD,1011,1.83538,-0.032845
1290771,CL-34,COREAD,1011,-1.393624,-1.660969
910905,SNU-C1,COREAD,1011,1.798614,-0.051383
909755,SW837,COREAD,1011,0.97911,-0.464592
1290769,CL-11,COREAD,1011,0.353525,-0.780024
905939,HT-29,COREAD,1011,3.476255,0.794516
909263,RCM-1,COREAD,1011,0.563916,-0.673941
905937,HCT-15,COREAD,1011,1.999466,0.049891
924108,CaR-1,COREAD,1011,1.988543,0.044383
1789883,DiFi,COREAD,1011,-0.75307,-1.33799
905961,COLO-205,COREAD,1011,-0.587371,-1.254441
907287,HT55,COREAD,1011,1.485133,-0.209446
909757,SW948,COREAD,1011,-0.652216,-1.287137
917486,LS-1034,COREAD,1011,1.607397,-0.147798
910554,CW-2,COREAD,1011,2.688711,0.397421
1660034,SNU-407,COREAD,1011,3.232104,0.67141
1240123,CCK-81,COREAD,1011,1.454105,-0.225091
905936,HCT-116,COREAD,1011,1.834611,-0.033233
