"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
24753719,"C17H16N2O3",296.320000,"COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO"
44462758,"C19H23N9O",393.400000,"C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N"
457193,"C62H86N12O16",1255.400000,"CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C"
657237,"C10H12FN5O4",285.230000,"C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N"
6438436,"C20H30O4",334.400000,"CC1=CCCC(C2CC(CCC3(C(O3)CC1)C)C(=C)C(=O)O2)(C)O"
11228183,"C42H45ClN6O5S2",813.400000,"CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]"
4261,"C21H20N4O3",376.400000,"C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3"
3062316,"C22H26ClN7O2S",488.000000,"CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO"
24978538,"C47H55ClF3N5O6S3",974.600000,"CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C"
208908,"C29H26ClFN4O4S",581.100000,"CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl"
24866313,"C33H33N9O2",587.700000,"C1CN(CC1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7"
44137675,"C22H24N4O4",408.400000,"CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4"
91663328,"C25H28N6O",428.500000,"CC1CN(CC(N1)C)C2=NC=C(C(=C2)C)C3=CC=C(C=C3)C4=NC(=O)C5=C(N4)N(C=C5)C"
123631,"C22H24ClFN4O3",446.900000,"COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4"
11404337,"C20H19N3O",317.400000,"CC1=CC(=C(N1)C=C2C(=CC(=C3C=C4C=CC=CC4=N3)N2)OC)C"
44632017,"C17H13Cl2NO4",366.200000,"COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O"
2155128,"C22H18N4O2S3",466.600000,"CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=C(C(=O)N3C5=CC=CC=C5)SCC4"
3899,"C12H9F3N2O2",270.210000,"CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F"
227681,"C8H9NO4",183.160000,"CCC(=O)OCN1C(=O)C=CC1=O"
42623951,"C15H17FN6O2S",364.400000,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F"
53469448,"C24H20F3N5O",451.400000,"CN1C=C(C2=C(N=CN=C21)N)C3=CC4=C(C=C3)N(CC4)C(=O)CC5=CC(=CC=C5)C(F)(F)F"
4212,"C22H28N4O6",444.500000,"C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO"
35397514,"C17H18BrN3O4S",440.300000,"CC1=C(C=CC(=C1)Br)S(=O)(=O)NC2=CC3=C(C=C2OC)N(C(=O)N3C)C"
56645356,"C27H31FN4O2",462.600000,"CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CN4C=CN=C4C"
11626560,"C21H22Cl2FN5O",450.300000,"CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N"
11640390,"C26H23N5O",421.500000,"CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O"
6450551,"C22H18N4OS",386.500000,"CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4"
387447,"C19H25BN4O4",384.200000,"B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O"
16095342,"C29H30N8O5",570.600000,"CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6"
11707110,"C26H23FIN5O4",615.400000,"CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5"
49846579,"C45H50ClN7O7S",868.400000,"CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C"
24785538,"C23H24FN9O",461.500000,"CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F"
11433190,"C30H30Cl2N4O4",581.500000,"CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl"
11178236,"C20H19BrN4O3",443.300000,"CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-]"
16241412,"C17H21N3O3S",347.400000,"CC1=CSC(=NC2CCCCC2)N1NC=C3C=CC(=O)C(=C3O)O"
51042438,"C18H16Cl2F2N4O2",429.200000,"CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl"
118704762,"C21H18F2N2O2",368.400000,"C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F"
